player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
206326,Dana,Machalkova,U,19920607,CZE,,
206327,Olivia,Matuszak,U,19890526,GER,,
206328,Paulina,Petriskova,R,19931004,SVK,,
206329,Montserrat,Gonzalez,R,19940701,PAR,170,Q6906582
206330,Daniela,Degano,R,19930401,ARG,,
206331,Jazmin,Britos,R,19930219,PAR,,
206332,Camila,Giangreco Campiz,R,19960824,PAR,,Q13501891
206333,Linda,Mair,R,19850226,ITA,,
206334,Alena,Poletinova,U,19941009,CZE,,
206335,Jesika,Maleckova,R,19940816,CZE,,Q23715582
206336,Julia,Stamatova,L,19930604,BUL,,Q13512703
206337,Clelia,Melena,R,19860405,SUI,,
206338,Stefania,Rubini,U,19921205,ITA,,Q25069376
206339,Olga,Parres Azcoitia,U,19930326,ESP,,Q24533142
206340,Paula,Mocete Talamantes,L,19930511,ESP,,
206341,Maria Constanza De Las Mercedes,Vega,U,19950924,ARG,,
206342,Ornella,Caron,R,19890407,ARG,,
206343,Stephanie Mariel,Petit,R,19960825,ARG,,Q48051277
206344,Fernanda,Brito,R,19920214,CHI,172,Q13406786
206345,Victoria,Bosio,R,19941003,ARG,,Q16492404
206346,Denise,Starr,R,19950417,USA,,
206347,Courtney,Colton,U,19940325,USA,,
206348,Aimee,Gibson,U,19910821,GBR,,
206349,Mayo,Hibi,R,19960403,JPN,165,Q13646075
206350,Christina,Makarova,R,19960529,USA,,
206351,Rio,Kitagawa,U,19930915,JPN,,Q90417017
206352,Noelle,Hickey,U,19881205,USA,,
206353,Lauren,Marker,R,19950517,USA,,
206354,Lina,Qostal,R,19970311,MAR,,Q13512754
206355,Rebecca,Leahy,R,19910921,AUS,,
206356,Mia,Middleton,U,19960316,NZL,,
206357,Angelique,Svinos,U,19960125,AUS,,Q83542300
206358,Claudia,Williams,U,19960229,NZL,,Q5129282
206359,Luci,Barlow,U,19860123,NZL,,
206360,Yihong,Li,U,19960709,CHN,,
206361,Nicole,Hoynaski,U,19940121,AUS,,
206362,Naiktha,Bains,R,19971217,GBR,174,Q15621304
206363,Anna,Danilina,R,19950820,KAZ,,Q4766943
206364,Paula,Feitosa,R,19930602,BRA,,
206365,Breaunna,Addison,R,19941222,USA,,
206366,Suzanna,Grigoryan,R,19940315,RUS,,
206367,Spurti,Shivalingaiah,U,19950712,IND,,
206368,Veronika,Kudermetova,R,19970424,RUS,175,Q14618664
206369,Emiliya,Gadzhieva,R,19940603,RUS,,
206370,Daria,Salnikova,R,19940330,RUS,,
206371,Alina,Silich,U,19960710,RUS,,
206372,Julaluck,Sae Eung,U,19950127,THA,,
206373,Regina,Clark,U,19960326,MEX,,
206374,Yafan,Wang,R,19940430,CHN,170,Q15469035
206375,Sonia,Daggou,R,19930529,TUN,,
206376,Nour,Abbes,R,19930620,TUN,,Q17418361
206377,Emma,Janssen,U,19950630,BEL,,
206378,Elke,Lemmens,R,19941227,BEL,,
206379,Nicole,Robinson,R,19941230,USA,,
206380,Gabriella,De Santis,R,19951101,VEN,,
206381,Carmen,Blanco,R,19950725,VEN,,
206382,Sarahi,Garcia Carrera,L,19940102,MEX,,
206383,Maria Andrea,Cardenas,R,19941216,VEN,,
206384,Ana Gabriela,Gerbasi,R,19950721,VEN,,
206385,Carol,Lombardino Petrocinio,U,19971017,VEN,,
206386,Isabella,Fernandez Diaz,U,19940630,VEN,,
206387,Aymet,Uzcategui,U,19951201,VEN,,Q26132241
206388,Clementina Eugenia,Riobueno De Paola,U,19940928,VEN,,
206389,Domenica,Gonzalez,R,19960212,ECU,,Q5291400
206390,Isabelle,Wallace,L,19960907,AUS,,Q27507603
206391,Ellen,Perez,L,19951010,AUS,169,Q22086227
206392,Yesmine,Kharrat,R,19951116,TUN,,
206393,Yosr,Elmi,U,19960103,TUN,,
206394,Athena,Nathalia,R,19940518,INA,,
206395,Sarvinoz,Saidhujaeva,U,19971029,UZB,,
206396,Da Hye,Kim,U,19960425,KOR,,
206397,Ji Hee,Lee,U,19890524,KOR,,
206398,Maura,Aveta,U,19950222,ITA,,
206399,Francesca,Sella,R,19940323,ITA,,
206400,Martina,Spigarelli,U,19920512,ITA,,Q106368338
206401,Sanae,Ohta,U,19940116,JPN,,
206402,Kanako,Morisaki,U,19960905,JPN,,
206403,Alena,Fomina,R,19890705,RUS,,Q17253504
206404,Elizaveta,Kulichkova,R,19960412,RUS,,Q5363900
206405,Sofia,Blanco,U,19951120,ARG,,
206406,Berta,Bonardi,R,19950621,ARG,,
206407,Carolina,Costamagna,R,19950612,ARG,,
206408,Nadia,Podoroska,R,19970210,ARG,170,Q16496064
206409,Giuliana,Verbauwen,U,19950622,ARG,,
206410,Guadalupe,Perez Rojas,R,19940819,ARG,,Q18565455
206411,Agustina,Serio,U,19950802,ARG,,
206412,Shakhlo,Saidova,L,19950405,RUS,,
206413,Anastasiya,Galickaya,U,19960701,RUS,,
206414,Guzal,Yusupova,R,19971219,UZB,,Q26209553
206415,Meredith,Xepoleas,U,19970521,USA,,
206416,Alexandra,Glebova,U,19890109,RUS,,
206417,Leolia,Jeanjean,R,19950814,FRA,,Q107608347
206418,Imane Maelle,Kocher,R,19941017,SUI,,
206419,Karin,Kennel,R,19950705,SUI,,Q18707075
206420,Ekaterina,Alexandrova,R,19941115,RUS,175,Q23719121
206421,Nam Yeon,Jun,R,19951105,KOR,,
206422,Anastasia,Rudakova,U,19941109,RUS,,
206423,Sandra,Honigova,U,19960515,CZE,,
206424,Katharina,Lehnert,R,19940218,GER,,Q19968728
206425,Giulia,Bruschi,U,19910428,ITA,,
206426,Giulia,Pairone,R,19960121,ITA,,
206427,Daiana,Negreanu,U,19880621,ROU,,Q106694676
206428,Luisa,Rosa,U,19950428,BRA,,
206429,Marcela,Alves Pereira Valle,R,19941101,BRA,,
206430,Carolina,Alves,U,19960423,BRA,,Q19281575
206431,Andressa Cristina,Souza,R,19940628,BRA,,
206432,Ivone,Alvaro,U,19961104,POR,,
206433,Nadia,Echeverria Alam,R,19950114,USA,,Q23831057
206434,Martina,Schiavo,U,19751203,ITA,,
206435,Carmen,Gajo Torrell,U,19790620,ESP,,
206436,Anna,Alexeeva,U,19830112,RUS,,
206437,Jennifer,Miccoli,U,19830806,ITA,,
206438,Daniela,Bertolo,R,19830301,ITA,,
206439,Andrea,Plackova,R,19820307,CZE,,
206440,Michala,Bzdusekova,U,19841021,SVK,,
206441,Martina,Strussova,U,19820510,SVK,,
206442,Tsarina,Domacasse,U,19780331,AHO,,
206443,Lorna,Simmons,U,19570721,AHO,,
206444,Maria De Los Angeles,Montoya,U,19790319,COL,,
206445,Marisa,Tseng,U,19820627,AHO,,
206446,Nicole,Weber,U,19820324,AHO,,
206447,Ingrid,Gonzalez,U,19710413,ESA,,Q6033194
206448,Jackie,Moe,U,19710922,USA,,
206449,Eveline,Wouters,U,19780609,AHO,,
206450,Gabriela,Zingman,U,19821022,ARG,,
206451,Viviana,Ferencak,U,19810330,ARG,,
206452,Evelina,Scalise,U,19801015,ARG,,
206453,Noelia,Furno,U,19820607,ARG,,
206454,Johanna,Zingman,U,19821022,ARG,,
206455,Maria Lorena,Alcetegaray,U,19800531,ARG,,
206456,Virginia,Sadi,U,19780902,URU,,
206457,Celeste,Frey,U,19770323,ARG,,
206458,Maria Eugenia,Fernandez,U,19790224,URU,,
206459,Alejandra,Perez Jimenez,U,19670929,ARG,,
206460,Maria Soledad,Coppari,U,19770912,ARG,,
206461,Mariela,Brunello,U,19771018,ARG,,
206462,Paola,De Cunto,U,19701122,ARG,,
206463,Natalia,Rubio,R,19790419,ARG,,
206464,Laura,Rossi,U,19780510,ARG,,
206465,Anabella,Sansostri,U,19790419,ARG,,
206466,Claudia,Perolini,U,19780224,URU,,
206467,Valeria,Dag,U,19800828,ARG,,
206468,Daniela,Forti,U,19780108,ARG,,
206469,Rafaela,Boero,U,19781030,ARG,,
206470,Claudia,Lepore,U,19810513,ARG,,
206471,Lorena,Martinez,U,19780111,ARG,,
206472,Carla,Bazzon,U,19681217,BRA,,
206473,Maria Victoria,Beortegui,R,19800612,ARG,,
206474,Mariana,Gonzalez Moreno,U,19800918,ARG,,
206475,Natalia,Nusshold,U,19810515,ARG,,
206476,Yessica,Garcia,U,19790109,ARG,,
206477,Romina,Labrador,U,19781003,ARG,,
206478,Ekaterina,Nossik,U,19760529,BLR,,
206479,Cecilia,Perez,U,19810430,ARG,,
206480,Albertina,Gandara,R,19821014,ARG,,
206481,Viviana,Valdovinos,U,19740208,PAR,,
206482,Rocio,Fantilli,U,19801121,ARG,,
206483,Virginia,Varga,U,19810809,ARG,,
206484,Monica,Acosta,U,19830208,PAR,,
206485,Juliana,Piumatti,U,19770406,BRA,,
206486,Virginia,Tomatis,U,19840429,ARG,,
206487,Frida,Engblom,U,19790817,SWE,,
206488,Kellie,Browne,U,19830407,AUS,,
206489,Angela,Szymanowski,U,19820318,AUS,,
206490,Anna,Cowan,U,19820622,AUS,,
206491,Petra,Plackova,U,19780124,CZE,,
206492,Julia,Henninger,U,19811025,GER,,
206493,Birgit,Pirker,U,19800519,AUT,,
206494,Lucie,Zaruba,U,19790726,AUT,,
206495,Janina,Tajkovsky,U,19770520,AUT,,
206496,Sarah,Gregg,U,19820115,GBR,,
206497,Francoise,Gillis,U,19790610,BEL,,
206498,Thu Tuyen,Pham Nhu,U,19820906,BEL,,
206499,Catherine,Henuzet,U,19800804,BEL,,
206500,Delphine,Troch,U,19801029,BEL,,
206501,Sophie,Turine,U,19790312,BEL,,
206502,Anne,Puissant,U,19751118,BEL,,
206503,Sofie,Borgions,U,19810117,BEL,,
206504,Valerie,Pavlickova,U,19791214,SVK,,
